,start
0,2022-08-09 04:03:39.606
1,2022-08-09 04:03:39.410
2,2022-08-09 04:03:39.201
3,2022-08-09 04:03:39.006
4,2022-08-09 04:03:38.787
5,2022-08-09 04:03:38.591
6,2022-08-09 04:03:38.397
7,2022-08-09 04:03:38.195
8,2022-08-09 04:03:37.986
9,2022-08-09 04:03:37.796
10,2022-08-09 04:03:37.601
11,2022-08-09 04:03:37.406
12,2022-08-09 04:03:37.136
13,2022-08-09 04:03:36.945
14,2022-08-09 04:03:36.751
15,2022-08-09 04:03:36.548
16,2022-08-09 04:03:36.343
17,2022-08-09 04:03:36.132
18,2022-08-09 04:03:35.931
19,2022-08-09 04:03:35.731
20,2022-08-09 04:03:35.539
21,2022-08-09 04:03:35.156
22,2022-08-09 04:03:34.860
23,2022-08-09 04:03:34.645
24,2022-08-09 04:03:34.451
25,2022-08-09 04:03:34.212
26,2022-08-09 04:03:34.004
27,2022-08-09 04:03:33.804
28,2022-08-09 04:03:33.582
29,2022-08-09 04:03:33.373
30,2022-08-09 04:03:33.115
31,2022-08-09 04:03:32.918
32,2022-08-09 04:03:32.720
33,2022-08-09 04:03:32.511
34,2022-08-09 04:03:32.309
35,2022-08-09 04:03:32.118
36,2022-08-09 04:03:31.928
37,2022-08-09 04:03:31.721
38,2022-08-09 04:03:31.479
39,2022-08-09 04:03:31.154
40,2022-08-09 04:03:30.942
41,2022-08-09 04:03:30.717
42,2022-08-09 04:03:30.498
43,2022-08-09 04:03:30.277
44,2022-08-09 04:03:30.072
45,2022-08-09 04:03:29.850
46,2022-08-09 04:03:29.628
47,2022-08-09 04:03:29.382
48,2022-08-09 04:03:29.155
49,2022-08-09 04:03:28.572
50,2022-08-09 04:01:15.702
51,2022-08-09 03:10:27.333
52,2022-08-09 00:53:40.845
53,2022-08-05 19:27:20.811
54,2022-08-05 19:20:11.949
55,2022-08-05 19:12:17.641
56,2022-08-05 19:07:39.840
57,2022-08-05 19:02:56.733
58,2022-08-05 18:57:52.482
59,2022-08-05 18:52:23.181
