,reqID,inputs,"ImageProcessing_GetInput, Cost","ImageProcessing_GetInput, Latency","ImagProcessing_Flip, Cost","ImagProcessing_Flip, Latency","ImageProcessing_Rotate, Cost","ImageProcessing_Rotate, Latency","ImageProcessing_Filter, Cost","ImageProcessing_Filter, Latency","ImageProcessing_Greyscale, Cost","ImageProcessing_Greyscale, Latency","ImageProcessing_Resize, Cost","ImageProcessing_Resize, Latency",ImageProcessing_GetInput-ImagProcessing_Flip,ImagProcessing_Flip-ImageProcessing_Rotate,ImageProcessing_Rotate-ImageProcessing_Filter,ImageProcessing_Filter-ImageProcessing_Greyscale,ImageProcessing_Greyscale-ImageProcessing_Resize
0,b040e09b76d84cb69d442352cc2287eb,Final-test1.jpg,51.0,51.0,383.0,383.0,372.0,372.0,515.0,515.0,304.0,304.0,466.0,466.0,306.0,102.0,168.0,150.0,161.0
1,839d7b723cc24762920501f96532434d,Final-test1.jpg,19.0,19.0,325.0,325.0,340.0,340.0,390.0,390.0,519.0,519.0,305.0,305.0,102.0,110.0,64.0,440.0,127.0
2,109a2f3098174a44bb27443badcf8e67,Final-test1.jpg,22.0,22.0,352.0,352.0,367.0,367.0,462.0,462.0,312.0,312.0,338.0,338.0,997.0,1.0,175.0,962.0,999.0
3,2da92ed309904e749f4aaebf99564e62,Final-test1.jpg,15.0,15.0,307.0,307.0,302.0,302.0,414.0,414.0,372.0,372.0,319.0,319.0,1.0,999.0,998.0,974.0,951.0
4,c33f5a903e8b4c82b5ce30626af3705b,Final-test1.jpg,19.0,19.0,357.0,357.0,332.0,332.0,510.0,510.0,384.0,384.0,715.0,715.0,999.0,998.0,998.0,999.0,54.0
5,f1952e1590664204960075afbfe63970,Final-test1.jpg,16.0,16.0,296.0,296.0,314.0,314.0,345.0,345.0,322.0,322.0,406.0,406.0,0.0,999.0,999.0,999.0,0.0
6,d42b2ab9bf3b4571a71fafe051ba535f,Final-test1.jpg,15.0,15.0,342.0,342.0,364.0,364.0,384.0,384.0,363.0,363.0,328.0,328.0,0.0,999.0,999.0,999.0,999.0
7,9c3c4e688ba24d1bb939c63fcf8ae4c5,Final-test1.jpg,16.0,16.0,312.0,312.0,322.0,322.0,394.0,394.0,576.0,576.0,328.0,328.0,0.0,998.0,999.0,997.0,9.0
8,79dc1a71613f44ed983580a5ef93fa94,Final-test1.jpg,14.0,14.0,368.0,368.0,339.0,339.0,384.0,384.0,336.0,336.0,373.0,373.0,0.0,999.0,999.0,999.0,0.0
9,7983a7cbbfe546058285e10775f78060,Final-test1.jpg,18.0,18.0,330.0,330.0,345.0,345.0,398.0,398.0,380.0,380.0,483.0,483.0,0.0,999.0,999.0,0.0,999.0
10,513a7fd051fa4c61a4960e39c6257152,Final-test1.jpg,19.0,19.0,618.0,618.0,312.0,312.0,387.0,387.0,285.0,285.0,335.0,335.0,999.0,0.0,999.0,0.0,0.0
11,118635f79def461c94ce799738997ff1,Final-test1.jpg,15.0,15.0,342.0,342.0,347.0,347.0,414.0,414.0,386.0,386.0,356.0,356.0,999.0,998.0,999.0,999.0,0.0
12,2c185d83bd5544dbbbff258c968226a0,Final-test1.jpg,17.0,17.0,310.0,310.0,359.0,359.0,408.0,408.0,327.0,327.0,366.0,366.0,999.0,999.0,999.0,998.0,999.0
13,4faff3dd3f3b4d62be5da4f18262d4b5,Final-test1.jpg,13.0,13.0,310.0,310.0,321.0,321.0,388.0,388.0,307.0,307.0,307.0,307.0,0.0,999.0,999.0,0.0,999.0
14,75e10f943c1746fc86a5dcf6da3ca471,Final-test1.jpg,16.0,16.0,303.0,303.0,303.0,303.0,349.0,349.0,290.0,290.0,408.0,408.0,0.0,999.0,0.0,999.0,999.0
15,5106d1b34ef04fc09105c36d7ff956f2,Final-test1.jpg,18.0,18.0,333.0,333.0,301.0,301.0,348.0,348.0,340.0,340.0,359.0,359.0,0.0,999.0,999.0,998.0,999.0
16,e3458bac8adb46219f728db904003c9d,Final-test1.jpg,19.0,19.0,300.0,300.0,300.0,300.0,382.0,382.0,335.0,335.0,321.0,321.0,999.0,999.0,999.0,0.0,0.0
17,3450e270fb9d4fc0bd81619e25196e7b,Final-test1.jpg,19.0,19.0,289.0,289.0,304.0,304.0,394.0,394.0,312.0,312.0,358.0,358.0,999.0,0.0,999.0,0.0,999.0
18,087e1fe7bd094c809ad8d131535c6ce5,Final-test1.jpg,12.0,12.0,288.0,288.0,362.0,362.0,400.0,400.0,308.0,308.0,288.0,288.0,0.0,999.0,997.0,0.0,999.0
19,cd290bf419b246a987cfaad65c5827ed,Final-test1.jpg,16.0,16.0,313.0,313.0,333.0,333.0,359.0,359.0,299.0,299.0,294.0,294.0,999.0,0.0,999.0,999.0,0.0
20,1c50ea1bde1e4924af8a4afbcf0eb0e2,Final-test2.jpg,13.0,13.0,351.0,351.0,342.0,342.0,430.0,430.0,337.0,337.0,309.0,309.0,999.0,0.0,999.0,0.0,0.0
21,727822afcca34553b73012b866cc663c,Final-test2.jpg,17.0,17.0,348.0,348.0,334.0,334.0,445.0,445.0,331.0,331.0,329.0,329.0,999.0,999.0,999.0,0.0,999.0
22,91357216660e40998970fdb7fb92c92a,Final-test2.jpg,12.0,12.0,314.0,314.0,369.0,369.0,416.0,416.0,318.0,318.0,321.0,321.0,999.0,999.0,0.0,0.0,0.0
23,bce4cf9282544c959e112b87c88dc8c7,Final-test2.jpg,16.0,16.0,315.0,315.0,328.0,328.0,460.0,460.0,308.0,308.0,286.0,286.0,999.0,999.0,999.0,0.0,0.0
24,e73a85436226400b89a16d20f42eacdf,Final-test2.jpg,17.0,17.0,314.0,314.0,337.0,337.0,428.0,428.0,314.0,314.0,364.0,364.0,999.0,999.0,0.0,999.0,998.0
25,92575f7a756546349213120dd1d121f3,Final-test2.jpg,19.0,19.0,324.0,324.0,336.0,336.0,498.0,498.0,331.0,331.0,360.0,360.0,999.0,999.0,998.0,0.0,0.0
26,046c383d87594f75a9a4d094074fbde1,Final-test2.jpg,18.0,18.0,313.0,313.0,329.0,329.0,431.0,431.0,314.0,314.0,296.0,296.0,999.0,0.0,999.0,0.0,999.0
27,ad4045aea7534daba5ea58b06948662f,Final-test2.jpg,17.0,17.0,327.0,327.0,336.0,336.0,441.0,441.0,322.0,322.0,346.0,346.0,0.0,999.0,999.0,0.0,0.0
28,62f2a6a05bf24b638504e5e624c84cdf,Final-test2.jpg,14.0,14.0,313.0,313.0,325.0,325.0,470.0,470.0,321.0,321.0,299.0,299.0,999.0,999.0,999.0,0.0,999.0
29,416d3d58c4894665aaf20bb21f265555,Final-test2.jpg,17.0,17.0,307.0,307.0,362.0,362.0,439.0,439.0,307.0,307.0,329.0,329.0,999.0,999.0,998.0,0.0,0.0
30,bf5b7db20bed40d8901e2a0bb48569cf,Final-test2.jpg,17.0,17.0,314.0,314.0,424.0,424.0,515.0,515.0,306.0,306.0,308.0,308.0,999.0,998.0,999.0,999.0,999.0
31,0827736c85f44e65967d9c9130185ca3,Final-test2.jpg,14.0,14.0,355.0,355.0,339.0,339.0,452.0,452.0,341.0,341.0,313.0,313.0,999.0,999.0,999.0,0.0,0.0
32,2990fbc7d438449badb6613664488690,Final-test2.jpg,104.0,104.0,316.0,316.0,367.0,367.0,449.0,449.0,372.0,372.0,293.0,293.0,914.0,0.0,999.0,0.0,999.0
33,9e5478f1913a4aa38beddff350682c90,Final-test2.jpg,15.0,15.0,363.0,363.0,378.0,378.0,446.0,446.0,382.0,382.0,294.0,294.0,0.0,996.0,0.0,999.0,999.0
34,ea8d406dd73849fe97edf192641ee51e,Final-test2.jpg,16.0,16.0,383.0,383.0,334.0,334.0,464.0,464.0,312.0,312.0,283.0,283.0,999.0,999.0,999.0,999.0,1.0
35,100811eb28404abab14f73532cdf42c9,Final-test2.jpg,99.0,99.0,352.0,352.0,322.0,322.0,441.0,441.0,331.0,331.0,343.0,343.0,999.0,998.0,0.0,0.0,999.0
36,20628e2d827b4de7a0ee5e7a02d04394,Final-test2.jpg,14.0,14.0,316.0,316.0,323.0,323.0,451.0,451.0,312.0,312.0,325.0,325.0,999.0,999.0,999.0,992.0,0.0
37,45ef30f36fbd4e3f8812e2be74866166,Final-test2.jpg,14.0,14.0,364.0,364.0,329.0,329.0,516.0,516.0,315.0,315.0,362.0,362.0,0.0,998.0,999.0,999.0,999.0
38,eed373c013b743969b0f5ccda07081e0,Final-test2.jpg,11.0,11.0,316.0,316.0,357.0,357.0,441.0,441.0,396.0,396.0,281.0,281.0,999.0,999.0,998.0,999.0,0.0
39,268fcc72e4364cfba0dfb6d2ecfb1760,Final-test2.jpg,14.0,14.0,317.0,317.0,324.0,324.0,460.0,460.0,303.0,303.0,286.0,286.0,0.0,999.0,0.0,1.0,0.0
40,1ac850bef385464fb80ca61316a311c5,Final-test3.jpg,15.0,15.0,309.0,309.0,298.0,298.0,344.0,344.0,343.0,343.0,366.0,366.0,0.0,999.0,0.0,0.0,998.0
41,adfaf301c1ea4726914eafebc20f4071,Final-test3.jpg,20.0,20.0,352.0,352.0,349.0,349.0,342.0,342.0,293.0,293.0,341.0,341.0,63.0,149.0,0.0,95.0,130.0
42,6a9d1194823746358f1da1fd1b5dec6e,Final-test3.jpg,16.0,16.0,301.0,301.0,288.0,288.0,459.0,459.0,311.0,311.0,283.0,283.0,999.0,999.0,999.0,0.0,999.0
43,6a3d07846d354ee1842d3e8d454f9898,Final-test3.jpg,16.0,16.0,354.0,354.0,293.0,293.0,335.0,335.0,332.0,332.0,283.0,283.0,0.0,999.0,996.0,999.0,0.0
44,10379f6ed755414b841c450cbf5efb77,Final-test3.jpg,16.0,16.0,344.0,344.0,289.0,289.0,365.0,365.0,284.0,284.0,462.0,462.0,0.0,0.0,999.0,0.0,999.0
45,b2f6887585384d75a1c93f23b2641ba5,Final-test3.jpg,11.0,11.0,287.0,287.0,359.0,359.0,405.0,405.0,334.0,334.0,287.0,287.0,0.0,999.0,0.0,0.0,999.0
46,7029715486444f3481ac04fc5e402358,Final-test3.jpg,17.0,17.0,349.0,349.0,332.0,332.0,367.0,367.0,296.0,296.0,331.0,331.0,998.0,0.0,999.0,999.0,0.0
47,0ba010665c86400f8c4f89fc399ed167,Final-test3.jpg,15.0,15.0,328.0,328.0,296.0,296.0,377.0,377.0,302.0,302.0,360.0,360.0,0.0,999.0,999.0,999.0,999.0
48,6b867fa0a4254e0bb7ed008e619b70c8,Final-test3.jpg,17.0,17.0,315.0,315.0,384.0,384.0,404.0,404.0,288.0,288.0,329.0,329.0,999.0,0.0,998.0,999.0,999.0
49,bd1f4dcfdf6a449a80120bbba58e916a,Final-test3.jpg,12.0,12.0,326.0,326.0,288.0,288.0,354.0,354.0,306.0,306.0,327.0,327.0,0.0,998.0,999.0,998.0,999.0
50,3e33e0ab6fd248c3a82fa94f7d39997c,Final-test3.jpg,18.0,18.0,297.0,297.0,340.0,340.0,337.0,337.0,330.0,330.0,301.0,301.0,998.0,999.0,999.0,0.0,0.0
51,9ed44fb098694d98818064f0655376d8,Final-test3.jpg,16.0,16.0,303.0,303.0,291.0,291.0,378.0,378.0,336.0,336.0,280.0,280.0,0.0,999.0,999.0,0.0,999.0
52,01137542e5fe4bffa0bcb187e9aaa83f,Final-test3.jpg,17.0,17.0,289.0,289.0,334.0,334.0,329.0,329.0,399.0,399.0,340.0,340.0,0.0,999.0,999.0,999.0,995.0
53,ea859841dbaa451e907a113220e21e9b,Final-test3.jpg,16.0,16.0,334.0,334.0,298.0,298.0,329.0,329.0,285.0,285.0,355.0,355.0,999.0,0.0,998.0,999.0,999.0
54,b65aed104360454f91db88b552705d70,Final-test3.jpg,15.0,15.0,317.0,317.0,344.0,344.0,334.0,334.0,321.0,321.0,280.0,280.0,999.0,999.0,0.0,999.0,999.0
55,3a77b94080a54d0cb1046f3dde29f3d2,Final-test3.jpg,10.0,10.0,323.0,323.0,310.0,310.0,335.0,335.0,285.0,285.0,283.0,283.0,0.0,999.0,999.0,0.0,999.0
56,97da029a73dc4e20b64f7668f36f1be3,Final-test3.jpg,15.0,15.0,329.0,329.0,283.0,283.0,417.0,417.0,324.0,324.0,311.0,311.0,0.0,998.0,999.0,0.0,0.0
57,a0efc5e580394389aaabc2f68a372fd3,Final-test3.jpg,11.0,11.0,278.0,278.0,292.0,292.0,418.0,418.0,277.0,277.0,281.0,281.0,0.0,0.0,999.0,999.0,0.0
58,28fa99e4b4394cc193605296623ecc21,Final-test3.jpg,10.0,10.0,395.0,395.0,304.0,304.0,352.0,352.0,286.0,286.0,301.0,301.0,0.0,999.0,997.0,999.0,0.0
59,acaa2caf6405490ead93f44c0841246c,Final-test3.jpg,22.0,22.0,354.0,354.0,295.0,295.0,375.0,375.0,321.0,321.0,331.0,331.0,0.0,997.0,999.0,999.0,999.0
60,4d0a3e645f4e4d268222de96c5c113f4,Final-test4.jpg,16.0,16.0,319.0,319.0,311.0,311.0,365.0,365.0,316.0,316.0,297.0,297.0,999.0,998.0,999.0,999.0,0.0
61,5fdd2dda99654cb591c26609f24f7eef,Final-test4.jpg,12.0,12.0,320.0,320.0,297.0,297.0,358.0,358.0,293.0,293.0,314.0,314.0,999.0,999.0,999.0,0.0,993.0
62,ce36281c495442769a3c431db4f5bd7a,Final-test4.jpg,17.0,17.0,306.0,306.0,302.0,302.0,354.0,354.0,286.0,286.0,296.0,296.0,999.0,999.0,999.0,999.0,999.0
63,357cfe5efe744f2c999609f98ae586c3,Final-test4.jpg,12.0,12.0,303.0,303.0,296.0,296.0,356.0,356.0,342.0,342.0,306.0,306.0,999.0,998.0,0.0,999.0,0.0
64,7b01987e99d245a49b38b66cd38d2aa8,Final-test4.jpg,11.0,11.0,293.0,293.0,289.0,289.0,402.0,402.0,328.0,328.0,271.0,271.0,999.0,0.0,998.0,0.0,0.0
65,722032076bb04b0e9fc6ed5ae33844a2,Final-test4.jpg,11.0,11.0,334.0,334.0,292.0,292.0,409.0,409.0,280.0,280.0,288.0,288.0,999.0,0.0,0.0,999.0,1.0
66,05a363a29752494b8264320a52c91dff,Final-test4.jpg,15.0,15.0,299.0,299.0,352.0,352.0,422.0,422.0,283.0,283.0,288.0,288.0,0.0,999.0,0.0,0.0,0.0
67,973b6f9c3f6b469ca12c45dfefe84e11,Final-test4.jpg,16.0,16.0,298.0,298.0,307.0,307.0,388.0,388.0,297.0,297.0,339.0,339.0,0.0,999.0,997.0,0.0,0.0
68,e1bf53a767dc4f31a74d1bf794dec633,Final-test4.jpg,13.0,13.0,316.0,316.0,314.0,314.0,390.0,390.0,293.0,293.0,334.0,334.0,0.0,0.0,0.0,999.0,0.0
69,8a41b90607354bdb9949bd433d0a6e1c,Final-test4.jpg,14.0,14.0,294.0,294.0,307.0,307.0,346.0,346.0,287.0,287.0,281.0,281.0,0.0,0.0,999.0,999.0,0.0
70,88c61457d6ec4990b2ecb8b84bee91f5,Final-test4.jpg,13.0,13.0,310.0,310.0,301.0,301.0,382.0,382.0,301.0,301.0,269.0,269.0,999.0,999.0,999.0,999.0,999.0
71,fd85ab3dc71247a59806bf0284e34e96,Final-test4.jpg,11.0,11.0,330.0,330.0,326.0,326.0,372.0,372.0,327.0,327.0,380.0,380.0,999.0,0.0,999.0,0.0,999.0
72,cb31992d03874d2db6c7bdfe5ff89f7e,Final-test4.jpg,11.0,11.0,308.0,308.0,305.0,305.0,390.0,390.0,350.0,350.0,287.0,287.0,0.0,999.0,999.0,999.0,0.0
73,578a5ffbc6854367b90adfc688089f25,Final-test4.jpg,13.0,13.0,299.0,299.0,304.0,304.0,399.0,399.0,321.0,321.0,321.0,321.0,998.0,999.0,998.0,999.0,0.0
74,0f833ad54b61475d936c0f6ba4d785d7,Final-test4.jpg,16.0,16.0,298.0,298.0,302.0,302.0,380.0,380.0,399.0,399.0,297.0,297.0,0.0,999.0,997.0,999.0,0.0
75,350cbd127b5f4314ae383be65bded56c,Final-test4.jpg,11.0,11.0,296.0,296.0,310.0,310.0,445.0,445.0,299.0,299.0,325.0,325.0,999.0,0.0,999.0,0.0,0.0
76,743f8c8c0cff4dcd8cd8e776485b77f6,Final-test4.jpg,10.0,10.0,293.0,293.0,307.0,307.0,352.0,352.0,324.0,324.0,278.0,278.0,0.0,0.0,998.0,0.0,999.0
77,727df0d0a1914005926b03d996582cca,Final-test4.jpg,22.0,22.0,297.0,297.0,316.0,316.0,366.0,366.0,289.0,289.0,366.0,366.0,999.0,999.0,999.0,999.0,999.0
78,efb57c9697f64007975815229b45a8db,Final-test4.jpg,12.0,12.0,313.0,313.0,300.0,300.0,385.0,385.0,293.0,293.0,309.0,309.0,999.0,999.0,999.0,0.0,999.0
79,de4440c6101d47b4b0df44c76c5a24d3,Final-test4.jpg,11.0,11.0,300.0,300.0,285.0,285.0,350.0,350.0,282.0,282.0,273.0,273.0,0.0,999.0,0.0,999.0,0.0
80,71df9deb62c94dd3a8bba41f6b7ed852,Final-test5.jpg,14.0,14.0,330.0,330.0,300.0,300.0,381.0,381.0,343.0,343.0,287.0,287.0,999.0,999.0,999.0,999.0,999.0
81,ecb31c08197d46539a678c6422818be1,Final-test5.jpg,13.0,13.0,302.0,302.0,307.0,307.0,390.0,390.0,304.0,304.0,353.0,353.0,0.0,999.0,999.0,0.0,0.0
82,e27e1fbb49e64ff0bd072d760bee9dec,Final-test5.jpg,12.0,12.0,325.0,325.0,334.0,334.0,343.0,343.0,301.0,301.0,311.0,311.0,0.0,999.0,999.0,0.0,997.0
