function,reqID,start,finish,mergingPoint,host,duration
A,1,,,,s,90
A,2,,,,s,90
A,3,,,,s,90
A,4,,,,s,90
A,5,,,,s,90
A,6,,,,s,90
A,7,,,,s,90
A,8,,,,s,90
A,9,,,,s,90
A,10,,,,s,90
A,11,,,,s,90
A,12,,,,s,90
A,13,,,,s,90
A,14,,,,s,90
A,15,,,,s,90
A,16,,,,s,90
A,17,,,,s,90
A,18,,,,s,90
A,19,,,,s,90
A,20,,,,s,90
B,1,,,,s,90
B,2,,,,s,90
B,3,,,,s,90
B,4,,,,s,90
B,5,,,,s,90
B,6,,,,s,90
B,7,,,,s,90
B,8,,,,s,90
B,9,,,,s,90
B,10,,,,s,90
B,11,,,,s,90
B,12,,,,s,90
B,13,,,,s,90
B,14,,,,s,90
B,15,,,,s,90
B,16,,,,s,90
B,17,,,,s,90
B,18,,,,s,90
B,19,,,,s,90
B,20,,,,s,90
C,1,,,,s,90
C,2,,,,s,90
C,3,,,,s,90
C,4,,,,s,90
C,5,,,,s,90
C,6,,,,s,90
C,7,,,,s,90
C,8,,,,s,90
C,9,,,,s,90
C,10,,,,s,90
C,11,,,,s,90
C,12,,,,s,90
C,13,,,,s,90
C,14,,,,s,90
C,15,,,,s,90
C,16,,,,s,90
C,17,,,,s,90
C,18,,,,s,90
C,19,,,,s,90
C,20,,,,s,90
D,1,,,E,s,90
D,2,,,E,s,90
D,3,,,E,s,90
D,4,,,E,s,90
D,5,,,E,s,90
D,6,,,E,s,90
D,7,,,E,s,90
D,8,,,E,s,90
D,9,,,E,s,90
D,10,,,E,s,90
D,11,,,E,s,90
D,12,,,E,s,90
D,13,,,E,s,90
D,14,,,E,s,90
D,15,,,E,s,90
D,16,,,E,s,90
D,17,,,E,s,90
D,18,,,E,s,90
D,19,,,E,s,90
D,20,,,E,s,90
D,1,,,B,s,90
D,2,,,B,s,90
D,3,,,B,s,90
D,4,,,B,s,90
D,5,,,B,s,90
D,6,,,B,s,90
D,7,,,B,s,90
D,8,,,B,s,90
D,9,,,B,s,90
D,10,,,B,s,90
D,11,,,B,s,90
D,12,,,B,s,90
D,13,,,B,s,90
D,14,,,B,s,90
D,15,,,B,s,90
D,16,,,B,s,90
D,17,,,B,s,90
D,18,,,B,s,90
D,19,,,B,s,90
D,20,,,B,s,90
D,1,,,F,s,90
D,2,,,F,s,90
D,3,,,F,s,90
D,4,,,F,s,90
D,5,,,F,s,90
D,6,,,F,s,90
D,7,,,F,s,90
D,8,,,F,s,90
D,9,,,F,s,90
D,10,,,F,s,90
D,11,,,F,s,90
D,12,,,F,s,90
D,13,,,F,s,90
D,14,,,F,s,90
D,15,,,F,s,90
D,16,,,F,s,90
D,17,,,F,s,90
D,18,,,F,s,90
D,19,,,F,s,90
D,20,,,F,s,90
F,1,,,,s,90
F,2,,,,s,90
F,3,,,,s,90
F,4,,,,s,90
F,5,,,,s,90
F,6,,,,s,90
F,7,,,,s,90
F,8,,,,s,90
F,9,,,,s,90
F,10,,,,s,90
F,11,,,,s,90
F,12,,,,s,90
