function,reqID,start,finish,mergingPoint,host,duration
A,1,,,,s,90
A,2,,,,s,90
A,3,,,,s,90
A,4,,,,s,90
A,5,,,,s,90
A,6,,,,s,90
A,7,,,,s,90
A,8,,,,s,90
A,9,,,,s,90
A,10,,,,s,90
A,11,,,,s,90
A,12,,,,s,90
A,13,,,,s,90
A,14,,,,s,90
A,15,,,,s,90
A,16,,,,s,90
A,17,,,,s,90
A,18,,,,s,90
A,19,,,,s,90
A,20,,,,s,90
B,1,,,,s,90
B,2,,,,s,90
B,3,,,,s,90
B,4,,,,s,90
B,5,,,,s,90
B,6,,,,s,90
B,7,,,,s,90
B,8,,,,s,90
B,9,,,,s,90
B,10,,,,s,90
B,11,,,,s,90
B,12,,,,s,90
B,13,,,,s,90
B,14,,,,s,90
B,15,,,,s,90
B,16,,,,s,90
B,17,,,,s,90
B,18,,,,s,90
B,19,,,,s,90
B,20,,,,s,90
C,1,,,,s,90
C,2,,,,s,90
C,3,,,,s,90
C,4,,,,s,90
C,5,,,,s,90
C,6,,,,s,90
C,7,,,,s,90
C,8,,,,s,90
C,9,,,,s,90
C,10,,,,s,90
C,11,,,,s,90
C,12,,,,s,90
C,13,,,,s,90
C,14,,,,s,90
C,15,,,,s,90
C,16,,,,s,90
C,17,,,,s,90
C,18,,,,s,90
C,19,,,,s,90
D,1,,,C,s,90
D,2,,,C,s,90
D,3,,,C,s,90
D,4,,,C,s,90
D,5,,,C,s,90
D,6,,,C,s,90
D,7,,,C,s,90
D,8,,,C,s,90
D,9,,,C,s,90
D,10,,,C,s,90
D,11,,,C,s,90
D,12,,,C,s,90
D,13,,,C,s,90
D,14,,,C,s,90
D,15,,,C,s,90
D,16,,,C,s,90
D,17,,,C,s,90
D,18,,,C,s,90
D,19,,,C,s,90
D,20,,,C,s,90
D,1,,,B,s,90
D,2,,,B,s,90
D,3,,,B,s,90
D,4,,,B,s,90
D,5,,,B,s,90
D,6,,,B,s,90
D,7,,,B,s,90
D,8,,,B,s,90
D,9,,,B,s,90
D,10,,,B,s,90
D,11,,,B,s,90
D,12,,,B,s,90
D,13,,,B,s,90
D,14,,,B,s,90
D,15,,,B,s,90
D,16,,,B,s,90
D,17,,,B,s,90
D,18,,,B,s,90
D,19,,,B,s,90
D,20,,,B,s,90
A,21,,,,vm0,90
A,22,,,,vm0,90
A,23,,,,vm0,90
A,24,,,,vm0,90
A,25,,,,vm0,90
A,26,,,,vm0,90
A,27,,,,vm0,90
A,28,,,,vm0,90
A,29,,,,vm0,90
A,30,,,,vm0,90
A,31,,,,vm0,90
A,32,,,,vm0,90
A,33,,,,vm0,90
A,34,,,,vm0,90
A,35,,,,vm0,90
A,36,,,,vm0,90
A,37,,,,vm0,90
A,38,,,,vm0,90
A,39,,,,vm0,90
A,40,,,,vm0,90
B,21,,,,vm0,90
B,22,,,,vm0,90
B,23,,,,vm0,90
B,24,,,,vm0,90
B,25,,,,vm0,90
B,26,,,,vm0,90
B,27,,,,vm0,90
B,28,,,,vm0,90
B,29,,,,vm0,90
B,30,,,,vm0,90
B,31,,,,vm0,90
B,32,,,,vm0,90
B,33,,,,vm0,90
B,34,,,,vm0,90
B,35,,,,vm0,90
B,36,,,,vm0,90
B,37,,,,vm0,90
B,38,,,,vm0,90
B,39,,,,vm0,90
B,40,,,,vm0,90
C,21,,,,vm0,90
C,22,,,,vm0,90
C,23,,,,vm0,90
C,24,,,,vm0,90
C,25,,,,vm0,90
C,26,,,,vm0,90
C,27,,,,vm0,90
C,28,,,,vm0,90
C,29,,,,vm0,90
C,30,,,,vm0,90
C,31,,,,vm0,90
C,32,,,,vm0,90
C,33,,,,vm0,90
C,34,,,,vm0,90
C,35,,,,vm0,90
C,36,,,,vm0,90
C,37,,,,vm0,90
C,38,,,,vm0,90
C,39,,,,vm0,90
C,40,,,,vm0,90
D,21,,,C,vm0,90
D,22,,,C,vm0,90
D,23,,,C,vm0,90
D,24,,,C,vm0,90
D,25,,,C,vm0,90
D,26,,,C,vm0,90
D,27,,,C,vm0,90
D,28,,,C,vm0,90
D,29,,,C,vm0,90
D,30,,,C,vm0,90
D,31,,,C,vm0,90
D,32,,,C,vm0,90
D,33,,,C,vm0,90
D,34,,,C,vm0,90
D,35,,,C,vm0,90
D,36,,,C,vm0,90
D,37,,,C,vm0,90
D,38,,,C,vm0,90
D,39,,,C,vm0,90
D,40,,,C,vm0,90
D,21,,,B,vm0,90
D,22,,,B,vm0,90
D,23,,,B,vm0,90
D,24,,,B,vm0,90
D,25,,,B,vm0,90
D,26,,,B,vm0,90
D,27,,,B,vm0,90
D,28,,,B,vm0,90
D,29,,,B,vm0,90
D,30,,,B,vm0,90
D,31,,,B,vm0,90
D,32,,,B,vm0,90
D,33,,,B,vm0,90
D,34,,,B,vm0,90
D,35,,,B,vm0,90
D,36,,,B,vm0,90
D,37,,,B,vm0,90
D,38,,,B,vm0,90
D,39,,,B,vm0,90
D,40,,,B,vm0,90
