,function,reqID,start,finish,mergingPoint,host,duration
0,Text2SpeechCensoringWorkflow_GetInput,99a3956cb2c14cf6a715bbf88d909c5f,2022-06-02 20:56:28.266,2022-06-02 20:56:31.031,,s,2765.0
1,Text2SpeechCensoringWorkflow_GetInput,d78beee56de349f6afb2ebbb7a747c20,2022-05-31 21:26:22.740,2022-05-31 21:26:25.246,,s,2506.0
2,Text2SpeechCensoringWorkflow_GetInput,1beadfdf2ade46be832f97d7451092d0,2022-05-30 16:50:00.259,2022-05-30 16:50:01.288,,s,1029.0
3,Text2SpeechCensoringWorkflow_GetInput,16c8ed7076dc46619d791b6b5f5c6553,2022-05-30 16:47:34.780,2022-05-30 16:47:34.970,,s,190.0
4,Text2SpeechCensoringWorkflow_GetInput,b8946b32b346414e805fe6e9707ea92b,2022-05-30 16:40:43.279,2022-05-30 16:40:45.855,,s,2576.0
5,Text2SpeechCensoringWorkflow_GetInput,3ed7a1d9ef3a4e5aad676bc65afba7aa,2022-05-30 06:32:44.625,2022-05-30 06:32:44.664,,s,39.0
6,Text2SpeechCensoringWorkflow_GetInput,1dd586b44d1f4e918d4bfc51159b9f1d,2022-05-30 06:32:43.363,2022-05-30 06:32:43.405,,s,42.0
7,Text2SpeechCensoringWorkflow_GetInput,247105cc257648e38af88a37e30e1d44,2022-05-30 06:32:42.064,2022-05-30 06:32:42.144,,s,80.0
8,Text2SpeechCensoringWorkflow_GetInput,907a3e0ddd504d9e8448515bcd39b37f,2022-05-30 06:32:40.805,2022-05-30 06:32:40.845,,s,40.0
9,Text2SpeechCensoringWorkflow_GetInput,780503e4239a40ee98dc9caf5e57852c,2022-05-30 06:32:39.554,2022-05-30 06:32:39.597,,s,43.0
10,Text2SpeechCensoringWorkflow_GetInput,a4ef6fb63d874b5aa1335dfda3c8f25c,2022-05-30 06:32:38.274,2022-05-30 06:32:38.350,,s,76.0
11,Text2SpeechCensoringWorkflow_GetInput,4f10612c9a0740c28d11e380df805662,2022-05-30 06:32:37.005,2022-05-30 06:32:37.048,,s,43.0
12,Text2SpeechCensoringWorkflow_GetInput,64269a703f614c7990cd9e03fcbd409e,2022-05-30 06:32:35.750,2022-05-30 06:32:35.792,,s,42.0
13,Text2SpeechCensoringWorkflow_GetInput,a810ce8738364e75b0fa7edca7f4b26e,2022-05-30 06:32:34.489,2022-05-30 06:32:34.534,,s,45.0
14,Text2SpeechCensoringWorkflow_GetInput,52494636720a4e8c85b3fb8e93038597,2022-05-30 06:32:33.239,2022-05-30 06:32:33.284,,s,45.0
15,Text2SpeechCensoringWorkflow_GetInput,83b104a3055c472da9e23ab935993345,2022-05-30 06:32:31.933,2022-05-30 06:32:31.987,,s,54.0
16,Text2SpeechCensoringWorkflow_GetInput,33f985fe4f1842658715a9b0c24dbc94,2022-05-30 06:32:30.668,2022-05-30 06:32:30.710,,s,42.0
17,Text2SpeechCensoringWorkflow_GetInput,74be0569247e48c0b855e5115a7fd693,2022-05-30 06:32:29.430,2022-05-30 06:32:29.467,,s,37.0
18,Text2SpeechCensoringWorkflow_GetInput,7c1b4fd61b914ada9e078c60d1ad2008,2022-05-30 06:32:28.126,2022-05-30 06:32:28.167,,s,41.0
