,cost,Memory(GB),PubsubMessageSize(Bytes),NI,duration,function
0,4e-07,0.256,-,20.0,41.05,Text2SpeechCensoringWorkflow_GetInput
1,4e-07,0.256,-,20.0,25.93,Text2SpeechCensoringWorkflow_Profanity
2,4e-07,0.256,-,20.0,534.64,Text2SpeechCensoringWorkflow_Text2Speech
3,4e-07,0.256,-,20.0,367.35,Text2SpeechCensoringWorkflow_Conversion
4,4e-07,2,-,20.0,414.27,Text2SpeechCensoringWorkflow_Compression
5,4e-07,0.256,-,20.0,642.99,Text2SpeechCensoringWorkflow_Censor
6,4e-07,0.256,-,20.0,200.56,Text2SpeechCensoringWorkflow_MergedFunction
7,3.725290298461914e-08,-,465.1401250526931,20.0,73.63,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Profanity
8,3.725290298461914e-08,-,464.8046209208707,20.0,940.46,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Text2Speech
9,3.725290298461914e-08,-,331.6621734166118,20.0,480.38,Text2SpeechCensoringWorkflow_Profanity-Text2SpeechCensoringWorkflow_MergedFunction
10,3.725290298461914e-08,-,268.95660810605716,20.0,76.63,Text2SpeechCensoringWorkflow_Text2Speech-Text2SpeechCensoringWorkflow_Conversion
11,3.725290298461914e-08,-,279.97765177299806,20.0,82.98,Text2SpeechCensoringWorkflow_Conversion-Text2SpeechCensoringWorkflow_Compression
12,3.725290298461914e-08,-,331.6621734166118,20.0,123.61,Text2SpeechCensoringWorkflow_Compression-Text2SpeechCensoringWorkflow_MergedFunction
13,3.725290298461914e-08,-,328.8776399926972,20.0,917.31,Text2SpeechCensoringWorkflow_MergedFunction-Text2SpeechCensoringWorkflow_Censor
