,cost,Memory(GB),PubsubMessageSize(Bytes),slackTime,duration,function
0,0.5,0.256,-,0,90,A
1,0.5,0.256,-,0,80,B
2,1.5,0.256,-,0,80,C
3,0.5,0.256,-,0,70,D
4,0.5,0.256,-,0,75,E
5,1.5,0.256,-,130,30,F
6,1,0.256,-,130,20,G
7,1,0.256,,130,35,H
8,1,0.256,,95,10,I
9,0.5,0.256,,95,5,J
10,3.73E-08,-,268.942505,0,85,A-B
11,3.73E-08,-,273.586217,0,80,B-C
12,3.73E-08,-,331.662173,0,75,C-D
13,3.73E-08,-,327.776863,0,75,D-E
14,3.73E-08,,300,100,35,B-F
15,3.73E-08,,300,100,25,F-G
16,3.73E-08,,300,100,25,G-H
17,3.73E-08,,300,100,20,H-D
18,3.73E-08,,300,70,5,F-I
19,3.73E-08,,300,70,5,I-J
20,3.73E-08,,300,70,5,J-H
