,cost,Memory(GB),PubsubMessageSize(Bytes),es,ls,ef,lf,slackTime,duration,function
0,4.6399999999999997e-07,0.256,-,0.0,0.0,30.0,30.0,0.0,30.0,Text2SpeechCensoringWorkflow_GetInput
1,4.6399999999999997e-07,0.256,-,31.0,1815.5,52.0,1836.5,1784.5,21.0,Text2SpeechCensoringWorkflow_Profanity
2,7.84e-07,0.256,-,1024.0,1024.0,1536.0,1536.0,0.0,512.0,Text2SpeechCensoringWorkflow_Text2Speech
3,6.559999999999999e-07,0.256,-,1538.0,1538.0,1848.0,1848.0,0.0,310.0,Text2SpeechCensoringWorkflow_Conversion
4,2.9e-06,2,-,1849.0,1849.0,2252.5,2252.5,0.0,403.5,Text2SpeechCensoringWorkflow_Compression
5,8.480000000000001e-07,0.256,-,3348.5,3348.5,4045.5,4045.5,0.0,697.0,Text2SpeechCensoringWorkflow_Censor
6,5.28e-07,0.256,-,2253.5,2253.5,2359.5,2359.5,0.0,106.0,Text2SpeechCensoringWorkflow_MergedFunction
7,3.725290298461914e-08,-,521.1931197452097,30.0,1814.5,31.0,1815.5,1784.5,1.0,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Profanity
8,3.725290298461914e-08,-,521.7547131380776,30.0,30.0,1024.0,1024.0,0.0,994.0,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Text2Speech
9,3.725290298461914e-08,-,331.6621734166118,52.0,1836.5,469.0,2253.5,1784.5,417.0,Text2SpeechCensoringWorkflow_Profanity-Text2SpeechCensoringWorkflow_MergedFunction
10,3.725290298461914e-08,-,269.2255863351568,1536.0,1536.0,1538.0,1538.0,0.0,2.0,Text2SpeechCensoringWorkflow_Text2Speech-Text2SpeechCensoringWorkflow_Conversion
11,3.725290298461914e-08,-,253.1764705882353,1848.0,1848.0,1849.0,1849.0,0.0,1.0,Text2SpeechCensoringWorkflow_Conversion-Text2SpeechCensoringWorkflow_Compression
12,3.725290298461914e-08,-,331.6621734166118,2252.5,2252.5,2253.5,2253.5,0.0,1.0,Text2SpeechCensoringWorkflow_Compression-Text2SpeechCensoringWorkflow_MergedFunction
13,3.725290298461914e-08,-,339.2794333086783,2359.5,2359.5,3348.5,3348.5,0.0,989.0,Text2SpeechCensoringWorkflow_MergedFunction-Text2SpeechCensoringWorkflow_Censor
