,cost,Memory(GB),PubsubMessageSize(Bytes),slackTime,duration,function
0,10,0.256,-,30,110,A
1,10,0.256,-,30,100,B
2,30,0.256,-,30,200,C
3,10,0.256,-,30,90,D
4,10,0.256,-,30,94,E
5,30,0.256,-,160,50,F
6,20,0.256,-,160,40,G
7,20,0.256,,160,55,H
8,20,0.256,,125,30,I
9,10,0.256,,125,25,J
10,3.73E-08,-,268.942505,10,115,A-B
11,3.73E-08,-,273.586217,10,90,B-C
12,3.73E-08,-,331.662173,10,85,C-D
13,3.73E-08,-,327.776863,10,85,D-E
14,3.73E-08,,300,110,45,B-F
15,3.73E-08,,300,110,35,F-G
16,3.73E-08,,300,110,35,G-H
17,3.73E-08,,300,110,50,H-D
18,3.73E-08,,300,80,15,F-I
19,3.73E-08,,300,80,15,I-J
20,3.73E-08,,300,80,15,J-H
