,cost,Memory(GB),PubsubMessageSize(Bytes),slackTime,duration,function
0,10,0.256,-,0,150,A
1,10,0.256,-,0,160,B
2,30,0.256,-,0,160,C
3,10,0.256,-,0,150,D
4,10,0.256,-,0,155,E
5,30,0.256,-,130,110,F
6,20,0.256,-,130,100,G
7,20,0.256,,130,100,H
8,20,0.256,,95,90,I
9,10,0.256,,95,55,J
10,3.73E-08,-,268.942505,0,115,A-B
11,3.73E-08,-,273.586217,0,90,B-C
12,3.73E-08,-,331.662173,0,85,C-D
13,3.73E-08,-,327.776863,0,85,D-E
14,3.73E-08,,300,100,45,B-F
15,3.73E-08,,300,100,35,F-G
16,3.73E-08,,300,100,35,G-H
17,3.73E-08,,300,100,50,H-D
18,3.73E-08,,300,70,15,F-I
19,3.73E-08,,300,70,15,I-J
20,3.73E-08,,300,70,15,J-H
