,cost,Memory(GB),PubsubMessageSize(Bytes),duration,function
0,4.64E-07,0.256,-,60,Text2SpeechCensoringWorkflow_GetInput
1,4.64E-07,0.256,-,51,Text2SpeechCensoringWorkflow_Profanity
2,7.84E-07,0.256,-,542,Text2SpeechCensoringWorkflow_Text2Speech
3,6.56E-07,0.256,-,340,Text2SpeechCensoringWorkflow_Conversion
4,2.90E-06,2,-,433.5,Text2SpeechCensoringWorkflow_Compression
5,8.48E-07,0.256,-,727,Text2SpeechCensoringWorkflow_Censor
6,5.28E-07,0.256,-,230,Text2SpeechCensoringWorkflow_MergedFunction
7,3.73E-08,-,521.1931197,1,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Profanity
8,3.73E-08,-,521.7547131,994,Text2SpeechCensoringWorkflow_GetInput-Text2SpeechCensoringWorkflow_Text2Speech
9,3.73E-08,-,331.6621734,417,Text2SpeechCensoringWorkflow_Profanity-Text2SpeechCensoringWorkflow_MergedFunction
10,3.73E-08,-,269.2255863,2,Text2SpeechCensoringWorkflow_Text2Speech-Text2SpeechCensoringWorkflow_Conversion
11,3.73E-08,-,253.1764706,1,Text2SpeechCensoringWorkflow_Conversion-Text2SpeechCensoringWorkflow_Compression
12,3.73E-08,-,331.6621734,1,Text2SpeechCensoringWorkflow_Compression-Text2SpeechCensoringWorkflow_MergedFunction
13,3.73E-08,-,339.2794333,989,Text2SpeechCensoringWorkflow_MergedFunction-Text2SpeechCensoringWorkflow_Censor
