,Alpha,Cost,ColdStarts
0,0.0,5.012529029846192e-07,5
1,0.0,5.012529029846192e-07,4
2,0.0,5.012529029846192e-07,4
3,0.0,5.012529029846192e-07,3
4,0.0,5.012529029846192e-07,4
5,0.0,5.012529029846192e-07,3
6,0.0,5.012529029846192e-07,3
7,0.0,5.012529029846192e-07,2
8,0.0,5.012529029846192e-07,4
9,0.0,5.012529029846192e-07,3
10,0.0,5.012529029846192e-07,3
11,0.0,5.012529029846192e-07,2
12,0.0,5.012529029846192e-07,3
13,0.0,5.012529029846192e-07,2
14,0.0,5.012529029846192e-07,2
15,0.0,5.012529029846192e-07,1
16,0.0,5.012529029846192e-07,4
17,0.0,5.012529029846192e-07,3
18,0.0,5.012529029846192e-07,3
19,0.0,5.012529029846192e-07,2
20,0.0,5.012529029846192e-07,3
21,0.0,5.012529029846192e-07,2
22,0.0,5.012529029846192e-07,2
23,0.0,5.012529029846192e-07,1
24,0.0,5.012529029846192e-07,3
25,0.0,5.012529029846192e-07,2
26,0.0,5.012529029846192e-07,2
27,0.0,5.012529029846192e-07,1
28,0.0,5.012529029846192e-07,2
29,0.0,5.012529029846192e-07,1
30,0.0,5.012529029846192e-07,1
31,0.0,5.012529029846192e-07,0
32,0.0,5.012529029846192e-07,6
33,0.0,5.012529029846192e-07,5
34,0.0,5.012529029846192e-07,5
35,0.0,5.012529029846192e-07,4
36,0.0,5.012529029846192e-07,5
37,0.0,5.012529029846192e-07,4
38,0.0,5.012529029846192e-07,4
39,0.0,5.012529029846192e-07,3
40,0.0,5.012529029846192e-07,5
41,0.0,5.012529029846192e-07,4
42,0.0,5.012529029846192e-07,4
43,0.0,5.012529029846192e-07,3
44,0.0,5.012529029846192e-07,4
45,0.0,5.012529029846192e-07,3
46,0.0,5.012529029846192e-07,3
47,0.0,5.012529029846192e-07,2
48,0.0,5.012529029846192e-07,5
49,0.0,5.012529029846192e-07,4
50,0.0,5.012529029846192e-07,4
51,0.0,5.012529029846192e-07,3
52,0.0,5.012529029846192e-07,4
53,0.0,5.012529029846192e-07,3
54,0.0,5.012529029846192e-07,3
55,0.0,5.012529029846192e-07,2
56,0.0,5.012529029846192e-07,4
57,0.0,5.012529029846192e-07,3
58,0.0,5.012529029846192e-07,3
59,0.0,5.012529029846192e-07,2
60,0.0,5.012529029846192e-07,3
61,0.0,5.012529029846192e-07,2
62,0.0,5.012529029846192e-07,2
63,0.0,5.012529029846192e-07,1
64,0.05,5.012529029846192e-07,5
65,0.05,5.012529029846192e-07,4
66,0.05,5.012529029846192e-07,4
67,0.05,5.012529029846192e-07,3
68,0.05,5.012529029846192e-07,4
69,0.05,5.012529029846192e-07,3
70,0.05,5.012529029846192e-07,3
71,0.05,5.012529029846192e-07,2
72,0.05,5.012529029846192e-07,4
73,0.05,5.012529029846192e-07,3
74,0.05,5.012529029846192e-07,3
75,0.05,5.012529029846192e-07,2
76,0.05,5.012529029846192e-07,3
77,0.05,5.012529029846192e-07,2
78,0.05,5.012529029846192e-07,2
79,0.05,5.012529029846192e-07,1
80,0.05,5.012529029846192e-07,4
81,0.05,5.012529029846192e-07,3
82,0.05,5.012529029846192e-07,3
83,0.05,5.012529029846192e-07,2
84,0.05,5.012529029846192e-07,3
85,0.05,5.012529029846192e-07,2
86,0.05,5.012529029846192e-07,2
87,0.05,5.012529029846192e-07,1
88,0.05,5.012529029846192e-07,3
89,0.05,5.012529029846192e-07,2
90,0.05,5.012529029846192e-07,2
91,0.05,5.012529029846192e-07,1
92,0.05,5.012529029846192e-07,2
93,0.05,5.012529029846192e-07,1
94,0.05,5.012529029846192e-07,1
95,0.05,5.012529029846192e-07,0
96,0.05,5.012529029846192e-07,6
97,0.05,5.012529029846192e-07,5
98,0.05,5.012529029846192e-07,5
99,0.05,5.012529029846192e-07,4
100,0.05,5.012529029846192e-07,5
101,0.05,5.012529029846192e-07,4
102,0.05,5.012529029846192e-07,4
103,0.05,5.012529029846192e-07,3
104,0.05,5.012529029846192e-07,5
105,0.05,5.012529029846192e-07,4
106,0.05,5.012529029846192e-07,4
107,0.05,5.012529029846192e-07,3
108,0.05,5.012529029846192e-07,4
109,0.05,5.012529029846192e-07,3
110,0.05,5.012529029846192e-07,3
111,0.05,5.012529029846192e-07,2
112,0.05,5.012529029846192e-07,5
113,0.05,5.012529029846192e-07,4
114,0.05,5.012529029846192e-07,4
115,0.05,5.012529029846192e-07,3
116,0.05,5.012529029846192e-07,4
117,0.05,5.012529029846192e-07,3
118,0.05,5.012529029846192e-07,3
119,0.05,5.012529029846192e-07,2
120,0.05,5.012529029846192e-07,4
121,0.05,5.012529029846192e-07,3
122,0.05,5.012529029846192e-07,3
123,0.05,5.012529029846192e-07,2
124,0.05,5.012529029846192e-07,3
125,0.05,5.012529029846192e-07,2
126,0.05,5.012529029846192e-07,2
127,0.05,5.012529029846192e-07,1
128,0.1,5.012529029846192e-07,5
129,0.1,5.012529029846192e-07,4
130,0.1,5.012529029846192e-07,4
131,0.1,5.012529029846192e-07,3
132,0.1,5.012529029846192e-07,4
133,0.1,5.012529029846192e-07,3
134,0.1,5.012529029846192e-07,3
135,0.1,5.012529029846192e-07,2
136,0.1,5.012529029846192e-07,4
137,0.1,5.012529029846192e-07,3
138,0.1,5.012529029846192e-07,3
139,0.1,5.012529029846192e-07,2
140,0.1,5.012529029846192e-07,3
141,0.1,5.012529029846192e-07,2
142,0.1,5.012529029846192e-07,2
143,0.1,5.012529029846192e-07,1
144,0.1,5.012529029846192e-07,4
145,0.1,5.012529029846192e-07,3
146,0.1,5.012529029846192e-07,3
147,0.1,5.012529029846192e-07,2
148,0.1,5.012529029846192e-07,3
149,0.1,5.012529029846192e-07,2
150,0.1,5.012529029846192e-07,2
151,0.1,5.012529029846192e-07,1
152,0.1,5.012529029846192e-07,3
153,0.1,5.012529029846192e-07,2
154,0.1,5.012529029846192e-07,2
155,0.1,5.012529029846192e-07,1
156,0.1,5.012529029846192e-07,2
157,0.1,5.012529029846192e-07,1
158,0.1,5.012529029846192e-07,1
159,0.1,5.012529029846192e-07,0
160,0.1,5.012529029846192e-07,6
161,0.1,5.012529029846192e-07,5
162,0.1,5.012529029846192e-07,5
163,0.1,5.012529029846192e-07,4
