,Alpha,Cost,ColdStarts,Cores,Mem
0,0.0,5.385058059692383e-07,6,1000,500000
1,0.0,5.385058059692383e-07,5,1000,500000
2,0.0,5.385058059692383e-07,5,1000,500000
3,0.0,5.385058059692383e-07,4,1000,500000
4,0.0,5.385058059692383e-07,5,1000,500000
5,0.0,5.385058059692383e-07,4,1000,500000
6,0.0,5.385058059692383e-07,4,1000,500000
7,0.0,5.385058059692383e-07,3,1000,500000
8,0.0,5.385058059692383e-07,5,1000,500000
9,0.0,5.385058059692383e-07,4,1000,500000
10,0.0,5.385058059692383e-07,4,1000,500000
11,0.0,5.385058059692383e-07,3,1000,500000
12,0.0,5.385058059692383e-07,4,1000,500000
13,0.0,5.385058059692383e-07,3,1000,500000
14,0.0,5.385058059692383e-07,3,1000,500000
15,0.0,5.385058059692383e-07,2,1000,500000
16,0.0,5.385058059692383e-07,5,1000,500000
17,0.0,5.385058059692383e-07,4,1000,500000
18,0.0,5.385058059692383e-07,4,1000,500000
19,0.0,5.385058059692383e-07,3,1000,500000
20,0.0,5.385058059692383e-07,4,1000,500000
21,0.0,5.385058059692383e-07,3,1000,500000
22,0.0,5.385058059692383e-07,3,1000,500000
23,0.0,5.385058059692383e-07,2,1000,500000
24,0.0,5.385058059692383e-07,4,1000,500000
25,0.0,5.385058059692383e-07,3,1000,500000
26,0.0,5.385058059692383e-07,3,1000,500000
27,0.0,5.385058059692383e-07,2,1000,500000
28,0.0,5.385058059692383e-07,3,1000,500000
29,0.0,5.385058059692383e-07,2,1000,500000
30,0.0,5.385058059692383e-07,2,1000,500000
31,0.0,5.385058059692383e-07,1,1000,500000
32,0.0,5.385058059692383e-07,5,1000,500000
33,0.0,5.385058059692383e-07,4,1000,500000
34,0.0,5.385058059692383e-07,4,1000,500000
35,0.0,5.385058059692383e-07,3,1000,500000
36,0.0,5.385058059692383e-07,4,1000,500000
37,0.0,5.385058059692383e-07,3,1000,500000
38,0.0,5.385058059692383e-07,3,1000,500000
39,0.0,5.385058059692383e-07,2,1000,500000
