,Alpha,Cost,ColdStarts
0,0.0,5.385058059692383e-07,6
1,0.0,5.385058059692383e-07,5
2,0.0,5.385058059692383e-07,5
3,0.0,5.385058059692383e-07,4
4,0.0,5.385058059692383e-07,5
5,0.0,5.385058059692383e-07,4
6,0.0,5.385058059692383e-07,4
7,0.0,5.385058059692383e-07,3
8,0.0,5.385058059692383e-07,5
9,0.0,5.385058059692383e-07,4
10,0.0,5.385058059692383e-07,4
11,0.0,5.385058059692383e-07,3
12,0.0,5.385058059692383e-07,4
13,0.0,5.385058059692383e-07,3
14,0.0,5.385058059692383e-07,3
15,0.0,5.385058059692383e-07,2
16,0.0,5.385058059692383e-07,5
17,0.0,5.385058059692383e-07,4
18,0.0,5.385058059692383e-07,4
19,0.0,5.385058059692383e-07,3
20,0.0,5.385058059692383e-07,4
21,0.0,5.385058059692383e-07,3
22,0.0,5.385058059692383e-07,3
23,0.0,5.385058059692383e-07,2
24,0.0,5.385058059692383e-07,4
25,0.0,5.385058059692383e-07,3
26,0.0,5.385058059692383e-07,3
27,0.0,5.385058059692383e-07,2
28,0.0,5.385058059692383e-07,3
29,0.0,5.385058059692383e-07,2
30,0.0,5.385058059692383e-07,2
31,0.0,5.385058059692383e-07,1
32,0.0,5.385058059692383e-07,5
33,0.0,5.385058059692383e-07,4
34,0.0,5.385058059692383e-07,4
35,0.0,5.385058059692383e-07,3
36,0.0,5.385058059692383e-07,4
37,0.0,5.385058059692383e-07,3
38,0.0,5.385058059692383e-07,3
39,0.0,5.385058059692383e-07,2
40,0.0,5.385058059692383e-07,4
41,0.0,5.385058059692383e-07,3
42,0.0,5.385058059692383e-07,3
43,0.0,5.385058059692383e-07,2
44,0.0,5.385058059692383e-07,3
45,0.0,5.385058059692383e-07,2
46,0.0,5.385058059692383e-07,2
47,0.0,5.385058059692383e-07,1
48,0.0,5.385058059692383e-07,4
49,0.0,5.385058059692383e-07,3
50,0.0,5.385058059692383e-07,3
51,0.0,5.385058059692383e-07,2
52,0.0,5.385058059692383e-07,3
53,0.0,5.385058059692383e-07,2
54,0.0,5.385058059692383e-07,2
55,0.0,5.385058059692383e-07,1
56,0.0,5.385058059692383e-07,3
57,0.0,5.385058059692383e-07,2
58,0.0,5.385058059692383e-07,2
59,0.0,5.385058059692383e-07,1
60,0.0,5.385058059692383e-07,2
61,0.0,5.385058059692383e-07,1
62,0.0,5.385058059692383e-07,1
63,0.0,5.385058059692383e-07,0
64,0.0,5.385058059692383e-07,7
65,0.0,5.385058059692383e-07,6
66,0.0,5.385058059692383e-07,6
67,0.0,5.385058059692383e-07,5
68,0.0,5.385058059692383e-07,6
69,0.0,5.385058059692383e-07,5
70,0.0,5.385058059692383e-07,5
71,0.0,5.385058059692383e-07,4
72,0.0,5.385058059692383e-07,6
73,0.0,5.385058059692383e-07,5
74,0.0,5.385058059692383e-07,5
75,0.0,5.385058059692383e-07,4
76,0.0,5.385058059692383e-07,5
77,0.0,5.385058059692383e-07,4
78,0.0,5.385058059692383e-07,4
79,0.0,5.385058059692383e-07,3
80,0.0,5.385058059692383e-07,6
81,0.0,5.385058059692383e-07,5
82,0.0,5.385058059692383e-07,5
83,0.0,5.385058059692383e-07,4
84,0.0,5.385058059692383e-07,5
85,0.0,5.385058059692383e-07,4
86,0.0,5.385058059692383e-07,4
87,0.0,5.385058059692383e-07,3
88,0.0,5.385058059692383e-07,5
89,0.0,5.385058059692383e-07,4
90,0.0,5.385058059692383e-07,4
91,0.0,5.385058059692383e-07,3
92,0.0,5.385058059692383e-07,4
93,0.0,5.385058059692383e-07,3
94,0.0,5.385058059692383e-07,3
95,0.0,5.385058059692383e-07,2
96,0.0,5.385058059692383e-07,6
97,0.0,5.385058059692383e-07,5
98,0.0,5.385058059692383e-07,5
99,0.0,5.385058059692383e-07,4
100,0.0,5.385058059692383e-07,5
101,0.0,5.385058059692383e-07,4
102,0.0,5.385058059692383e-07,4
103,0.0,5.385058059692383e-07,3
104,0.0,5.385058059692383e-07,5
105,0.0,5.385058059692383e-07,4
106,0.0,5.385058059692383e-07,4
107,0.0,5.385058059692383e-07,3
108,0.0,5.385058059692383e-07,4
109,0.0,5.385058059692383e-07,3
110,0.0,5.385058059692383e-07,3
111,0.0,5.385058059692383e-07,2
112,0.0,5.385058059692383e-07,5
113,0.0,5.385058059692383e-07,4
114,0.0,5.385058059692383e-07,4
115,0.0,5.385058059692383e-07,3
116,0.0,5.385058059692383e-07,4
117,0.0,5.385058059692383e-07,3
118,0.0,5.385058059692383e-07,3
119,0.0,5.385058059692383e-07,2
120,0.0,5.385058059692383e-07,4
121,0.0,5.385058059692383e-07,3
122,0.0,5.385058059692383e-07,3
123,0.0,5.385058059692383e-07,2
124,0.0,5.385058059692383e-07,3
125,0.0,5.385058059692383e-07,2
126,0.0,5.385058059692383e-07,2
127,0.0,5.385058059692383e-07,1
128,0.05,5.385058059692383e-07,6
129,0.05,5.385058059692383e-07,5
130,0.05,5.385058059692383e-07,5
131,0.05,5.385058059692383e-07,4
132,0.05,5.385058059692383e-07,5
133,0.05,5.385058059692383e-07,4
134,0.05,5.385058059692383e-07,4
135,0.05,5.385058059692383e-07,3
136,0.05,5.385058059692383e-07,5
137,0.05,5.385058059692383e-07,4
138,0.05,5.385058059692383e-07,4
139,0.05,5.385058059692383e-07,3
140,0.05,5.385058059692383e-07,4
141,0.05,5.385058059692383e-07,3
142,0.05,5.385058059692383e-07,3
143,0.05,5.385058059692383e-07,2
144,0.05,5.385058059692383e-07,5
145,0.05,5.385058059692383e-07,4
146,0.05,5.385058059692383e-07,4
147,0.05,5.385058059692383e-07,3
148,0.05,5.385058059692383e-07,4
149,0.05,5.385058059692383e-07,3
150,0.05,5.385058059692383e-07,3
151,0.05,5.385058059692383e-07,2
152,0.05,5.385058059692383e-07,4
153,0.05,5.385058059692383e-07,3
154,0.05,5.385058059692383e-07,3
155,0.05,5.385058059692383e-07,2
156,0.05,5.385058059692383e-07,3
157,0.05,5.385058059692383e-07,2
158,0.05,5.385058059692383e-07,2
159,0.05,5.385058059692383e-07,1
160,0.05,5.385058059692383e-07,5
161,0.05,5.385058059692383e-07,4
162,0.05,5.385058059692383e-07,4
163,0.05,5.385058059692383e-07,3
164,0.05,5.385058059692383e-07,4
165,0.05,5.385058059692383e-07,3
166,0.05,5.385058059692383e-07,3
167,0.05,5.385058059692383e-07,2
168,0.05,5.385058059692383e-07,4
169,0.05,5.385058059692383e-07,3
170,0.05,5.385058059692383e-07,3
171,0.05,5.385058059692383e-07,2
172,0.05,5.385058059692383e-07,3
173,0.05,5.385058059692383e-07,2
174,0.05,5.385058059692383e-07,2
175,0.05,5.385058059692383e-07,1
176,0.05,5.385058059692383e-07,4
177,0.05,5.385058059692383e-07,3
178,0.05,5.385058059692383e-07,3
179,0.05,5.385058059692383e-07,2
180,0.05,5.385058059692383e-07,3
181,0.05,5.385058059692383e-07,2
182,0.05,5.385058059692383e-07,2
183,0.05,5.385058059692383e-07,1
184,0.05,5.385058059692383e-07,3
185,0.05,5.385058059692383e-07,2
186,0.05,5.385058059692383e-07,2
187,0.05,5.385058059692383e-07,1
188,0.05,5.385058059692383e-07,2
189,0.05,5.385058059692383e-07,1
190,0.05,5.385058059692383e-07,1
191,0.05,5.385058059692383e-07,0
192,0.05,5.385058059692383e-07,7
193,0.05,5.385058059692383e-07,6
194,0.05,5.385058059692383e-07,6
195,0.05,5.385058059692383e-07,5
196,0.05,5.385058059692383e-07,6
197,0.05,5.385058059692383e-07,5
198,0.05,5.385058059692383e-07,5
199,0.05,5.385058059692383e-07,4
200,0.05,5.385058059692383e-07,6
201,0.05,5.385058059692383e-07,5
202,0.05,5.385058059692383e-07,5
203,0.05,5.385058059692383e-07,4
204,0.05,5.385058059692383e-07,5
205,0.05,5.385058059692383e-07,4
206,0.05,5.385058059692383e-07,4
207,0.05,5.385058059692383e-07,3
208,0.05,5.385058059692383e-07,6
209,0.05,5.385058059692383e-07,5
210,0.05,5.385058059692383e-07,5
211,0.05,5.385058059692383e-07,4
212,0.05,5.385058059692383e-07,5
213,0.05,5.385058059692383e-07,4
214,0.05,5.385058059692383e-07,4
215,0.05,5.385058059692383e-07,3
216,0.05,5.385058059692383e-07,5
217,0.05,5.385058059692383e-07,4
218,0.05,5.385058059692383e-07,4
219,0.05,5.385058059692383e-07,3
220,0.05,5.385058059692383e-07,4
221,0.05,5.385058059692383e-07,3
222,0.05,5.385058059692383e-07,3
223,0.05,5.385058059692383e-07,2
224,0.05,5.385058059692383e-07,6
225,0.05,5.385058059692383e-07,5
226,0.05,5.385058059692383e-07,5
227,0.05,5.385058059692383e-07,4
228,0.05,5.385058059692383e-07,5
229,0.05,5.385058059692383e-07,4
230,0.05,5.385058059692383e-07,4
231,0.05,5.385058059692383e-07,3
232,0.05,5.385058059692383e-07,5
233,0.05,5.385058059692383e-07,4
234,0.05,5.385058059692383e-07,4
235,0.05,5.385058059692383e-07,3
236,0.05,5.385058059692383e-07,4
237,0.05,5.385058059692383e-07,3
238,0.05,5.385058059692383e-07,3
239,0.05,5.385058059692383e-07,2
240,0.05,5.385058059692383e-07,5
241,0.05,5.385058059692383e-07,4
242,0.05,5.385058059692383e-07,4
243,0.05,5.385058059692383e-07,3
244,0.05,5.385058059692383e-07,4
245,0.05,5.385058059692383e-07,3
246,0.05,5.385058059692383e-07,3
247,0.05,5.385058059692383e-07,2
248,0.05,5.385058059692383e-07,4
249,0.05,5.385058059692383e-07,3
250,0.05,5.385058059692383e-07,3
251,0.05,5.385058059692383e-07,2
252,0.05,5.385058059692383e-07,3
253,0.05,5.385058059692383e-07,2
254,0.05,5.385058059692383e-07,2
255,0.05,5.385058059692383e-07,1
256,0.1,5.385058059692383e-07,6
257,0.1,5.385058059692383e-07,5
258,0.1,5.385058059692383e-07,5
259,0.1,5.385058059692383e-07,4
260,0.1,5.385058059692383e-07,5
261,0.1,5.385058059692383e-07,4
262,0.1,5.385058059692383e-07,4
263,0.1,5.385058059692383e-07,3
264,0.1,5.385058059692383e-07,5
265,0.1,5.385058059692383e-07,4
266,0.1,5.385058059692383e-07,4
267,0.1,5.385058059692383e-07,3
268,0.1,5.385058059692383e-07,4
269,0.1,5.385058059692383e-07,3
270,0.1,5.385058059692383e-07,3
271,0.1,5.385058059692383e-07,2
272,0.1,5.385058059692383e-07,5
273,0.1,5.385058059692383e-07,4
274,0.1,5.385058059692383e-07,4
275,0.1,5.385058059692383e-07,3
276,0.1,5.385058059692383e-07,4
277,0.1,5.385058059692383e-07,3
278,0.1,5.385058059692383e-07,3
279,0.1,5.385058059692383e-07,2
280,0.1,5.385058059692383e-07,4
281,0.1,5.385058059692383e-07,3
282,0.1,5.385058059692383e-07,3
283,0.1,5.385058059692383e-07,2
284,0.1,5.385058059692383e-07,3
285,0.1,5.385058059692383e-07,2
286,0.1,5.385058059692383e-07,2
287,0.1,5.385058059692383e-07,1
288,0.1,5.385058059692383e-07,5
289,0.1,5.385058059692383e-07,4
290,0.1,5.385058059692383e-07,4
291,0.1,5.385058059692383e-07,3
292,0.1,5.385058059692383e-07,4
293,0.1,5.385058059692383e-07,3
294,0.1,5.385058059692383e-07,3
295,0.1,5.385058059692383e-07,2
296,0.1,5.385058059692383e-07,4
297,0.1,5.385058059692383e-07,3
298,0.1,5.385058059692383e-07,3
299,0.1,5.385058059692383e-07,2
300,0.1,5.385058059692383e-07,3
301,0.1,5.385058059692383e-07,2
302,0.1,5.385058059692383e-07,2
303,0.1,5.385058059692383e-07,1
304,0.1,5.385058059692383e-07,4
305,0.1,5.385058059692383e-07,3
306,0.1,5.385058059692383e-07,3
307,0.1,5.385058059692383e-07,2
308,0.1,5.385058059692383e-07,3
309,0.1,5.385058059692383e-07,2
310,0.1,5.385058059692383e-07,2
311,0.1,5.385058059692383e-07,1
312,0.1,5.385058059692383e-07,3
313,0.1,5.385058059692383e-07,2
314,0.1,5.385058059692383e-07,2
315,0.1,5.385058059692383e-07,1
316,0.1,5.385058059692383e-07,2
317,0.1,5.385058059692383e-07,1
318,0.1,5.385058059692383e-07,1
319,0.1,5.385058059692383e-07,0
320,0.1,5.385058059692383e-07,7
321,0.1,5.385058059692383e-07,6
322,0.1,5.385058059692383e-07,6
323,0.1,5.385058059692383e-07,5
324,0.1,5.385058059692383e-07,6
325,0.1,5.385058059692383e-07,5
326,0.1,5.385058059692383e-07,5
327,0.1,5.385058059692383e-07,4
328,0.1,5.385058059692383e-07,6
