,Topic,PubsubMsgSize
0,ImageProcessing_Filter,273.68273597886974
1,ImageProcessing_Flip,215.36680181906647
2,ImageProcessing_Greyscale,278.4394035869533
3,ImageProcessing_Resize,289.43639056677574
4,ImageProcessing_Rotate,264.3668078121948
5,RegressionTuning_JoinRuns,318.0
6,RegressionTuning_createDataset,201.76923076923077
7,RegressionTuning_firstModel,244.83333333333334
8,RegressionTuning_merged,306.85714285714283
9,RegressionTuning_secondModel,244.83333333333334
10,Text2SpeechCensoringWorkflow_Compression,249.39655172413794
11,dag-Censor,296.4416060475394
12,dag-Conversion,262.9011836308603
13,dag-MergingPoint,355.48271712290716
14,dag-Profanity,252.8468891826562
15,dag-Text2Speech,244.3320696404483
16,dag-test-vm,268.4583333333333
17,imageprocessing_GC,130.88888888888889
18,vmTopic1,315.8653271288562
19,vmTopic2,387.93333333333334
