,mu,quantized_mu,changed,timestamp,average_util,parameter,delta_latency
0,0.6680906666666667,0.66,1,2022-12-13 19:55:04.231958,0.6680906666666667,0.03,0.0
0,0.6957694563243851,0.66,0,2022-12-13 19:55:06.701261,0.7092452,0.03,-0.5963679999999999
0,0.6770957771481712,0.66,0,2022-12-13 19:55:08.740216,0.694068,0.03,-0.8341136000000001
0,0.7420562200186285,0.66,0,2022-12-13 19:55:10.814590,0.742959625,0.03,-0.030576224000000374
0,0.696615676408162,0.66,0,2022-12-13 19:55:12.933190,0.720874,0.03,-1.6534461567999998
0,0.7058971122308719,0.66,0,2022-12-13 19:55:15.030242,0.7294382,0.03,-1.5357364633600001
0,0.6981973381170931,0.66,0,2022-12-13 19:55:17.064972,0.7142747,0.03,-0.7676812248063998
0,0.7666265528218585,0.66,0,2022-12-13 19:55:19.167746,0.6885779,0.03,1.2813842331136005
0,0.7080493678293636,0.66,0,2022-12-13 19:55:21.244985,0.6912223,0.03,0.44526402649087893
0,0.6650868740279127,0.66,0,2022-12-13 19:55:23.347782,0.6836038,0.03,-0.9603232541491209
0,0.6359660183540872,0.66,0,2022-12-13 19:55:25.435678,0.6588757000000001,0.03,-1.4424671402803204
0,0.6629856858541089,0.66,0,2022-12-13 19:55:27.465247,0.6282782,0.03,0.7686795141427195
0,0.6187048108342239,0.66,0,2022-12-13 19:55:29.564530,0.6261194999999999,0.03,-0.2838976497889281
0,0.6484256913764308,0.66,0,2022-12-13 19:55:31.695879,0.6689439,0.03,-1.1518241194881023
0,0.6454654726659744,0.66,0,2022-12-13 19:55:33.746521,0.6691073000000001,0.03,-1.5514563622641662
0,0.6515555649052487,0.66,0,2022-12-13 19:55:35.792668,0.6792219,0.03,-2.5537574291211067
0,0.6507249052825059,0.66,0,2022-12-13 19:55:37.879133,0.6779360000000001,0.03,-2.375548234688578
0,0.6834242259729356,0.66,0,2022-12-13 19:55:39.905870,0.7088283000000001,0.03,-1.876027128651419
0,0.6604853309606464,0.66,0,2022-12-13 19:55:41.973111,0.6839716,0.03,-1.5272849773733086
0,0.6069850613477266,0.66,0,2022-12-13 19:55:44.021519,0.6295021,0.03,-1.3885687659218464
0,0.6195539314402808,0.66,0,2022-12-13 19:55:46.087844,0.6433251999999999,0.03,-1.5720246907391044
0,0.6340563865040226,0.66,0,2022-12-13 19:55:48.113278,0.6573458000000001,0.03,-1.4975110270434564
0,0.6451990862350314,0.66,0,2022-12-13 19:55:50.183575,0.6514570999999999,0.03,-0.23395232980389255
0,0.6573057314410905,0.66,0,2022-12-13 19:55:52.249931,0.6806507,0.03,-1.505824205394921
0,0.6620081483846562,0.66,0,2022-12-13 19:55:54.327563,0.6811988,0.03,-1.0207860307681096
0,0.7405696665608117,0.66,0,2022-12-13 19:55:56.428199,0.7374949000000002,0.03,0.09757327043977596
0,0.6995720916964848,0.66,0,2022-12-13 19:55:58.477429,0.7088080000000001,0.03,-0.36797224757878444
0,0.697013477516192,0.66,0,2022-12-13 19:56:00.507403,0.7108462,0.03,-0.6182080885939165
0,0.7046812132610485,0.66,0,2022-12-13 19:56:02.533692,0.7228819000000001,0.03,-0.9331560501003525
0,0.7131093486418297,0.66,0,2022-12-13 19:56:04.563792,0.7265710000000001,0.03,-0.5955155373273053
0,0.6959640297181553,0.66,0,2022-12-13 19:56:06.612788,0.7177232,0.03,-1.292096348859184
0,0.6947375553967666,0.66,0,2022-12-13 19:56:08.638897,0.7164729000000001,0.03,-1.2892093455395197
0,0.6469817992497469,0.66,0,2022-12-13 19:56:10.705207,0.6684747,0.03,-1.2602963609036386
0,0.7111785224958751,0.66,0,2022-12-13 19:56:12.732480,0.7066240000000001,0.03,0.14134105711621142
0,0.7185476304543088,0.66,0,2022-12-13 19:56:14.783355,0.6739115,0.03,0.9114273307451187
0,0.6462458890120067,0.66,0,2022-12-13 19:56:16.834773,0.6435493,0.03,0.08607337924079705
0,0.684689091703986,0.66,0,2022-12-13 19:56:20.864857,0.6984462,0.03,-0.6135420021892649
0,0.7327434635152856,0.66,0,2022-12-13 19:56:22.929228,0.7488065,0.03,-0.766652825359478
0,0.7300225124742229,0.66,0,2022-12-13 19:56:24.956887,0.7383902,0.03,-0.3270092369067188
0,0.7067644834113901,0.66,0,2022-12-13 19:56:27.013208,0.7124904,0.03,-0.21178812673975517
0,0.6856838182097917,0.66,0,2022-12-13 19:56:29.045055,0.6957497000000001,0.03,-0.4087646350756971
0,0.7201059027149176,0.66,0,2022-12-13 19:56:33.156319,0.7157157000000001,0.03,0.13657433735369912
0,0.7299352133096472,0.66,0,2022-12-13 19:56:37.216151,0.7363234999999999,0.03,-0.23945446607996906
0,0.764034488919524,0.66,0,2022-12-13 19:56:39.261113,0.7125691,0.03,0.9989808725502805
0,0.8043977833780053,0.66,0,2022-12-13 19:56:41.316289,0.7746272999999999,0.03,0.6893145684427175
0,0.7419454838019666,0.66,0,2022-12-13 19:56:43.401288,0.7525894,0.03,-0.4381906032319501
0,0.6708725864668198,0.66,0,2022-12-13 19:56:45.427450,0.6925125,0.03,-1.2777286116979987
0,0.7076690994040573,0.66,0,2022-12-13 19:56:49.476383,0.7103306999999999,0.03,-0.0929050961892158
0,0.7135634968296588,0.66,0,2022-12-13 19:56:51.558034,0.7101145,0.03,0.10882441431764116
0,0.7038530824227825,0.66,0,2022-12-13 19:56:53.585112,0.7119997999999998,0.03,-0.3168462461042693
0,0.690319826504366,0.66,0,2022-12-13 19:56:55.741109,0.6955316,0.03,-0.1908285789420327
0,0.8459321866771041,1.0,1,2022-12-13 19:56:57.785647,0.6995685,0.03,1.7713508828793558
0,0.6735671607066863,0.66,1,2022-12-13 19:56:59.918695,0.6694876,0.03,0.12750043015386087
0,1,1.0,1,2022-12-13 19:57:02.007962,0.6473150999999999,0.03,3.066782521090513
0,0.8428134411203638,1.0,0,2022-12-13 19:57:04.153293,0.6450403,0.03,2.0271527568699526
0,0.902838192763602,1.0,0,2022-12-13 19:57:06.212014,0.635894,0.03,2.29234683633168
0,0.6984111155476813,0.66,1,2022-12-13 19:57:08.291025,0.6436806,0.03,1.0382784331240802
0,0.7429863979350517,0.66,0,2022-12-13 19:57:10.341901,0.6576186999999999,0.03,1.346927019320937
0,0.7639558324623468,0.66,0,2022-12-13 19:57:12.412504,0.6602373,0.03,1.4945397051237668
0,0.8145945571819515,0.66,0,2022-12-13 19:57:14.503370,0.65777,0.03,1.8289725979223062
0,0.8397211982396448,1.0,1,2022-12-13 19:57:16.647852,0.6808102,0.03,1.8400786137001757
0,0.7170244785534893,0.66,1,2022-12-13 19:57:18.686537,0.6921763,0.03,0.6033715967317466
0,0.7363315916487835,0.66,0,2022-12-13 19:57:20.781253,0.6791839000000001,0.03,1.0664069028479033
0,0.8924279942755183,1.0,1,2022-12-13 19:57:22.873749,0.7017781999999999,0.03,1.9953794216963763
0,0.713351730998918,0.66,1,2022-12-13 19:57:24.931300,0.71621,0.03,-0.10012494893124188
0,0.764500694314589,0.66,0,2022-12-13 19:57:29.023370,0.7601642999999999,0.03,0.13500846871917596
0,0.7657374929161855,0.66,0,2022-12-13 19:57:31.071395,0.7596311,0.03,0.1852725570892684
0,0.7685909735792907,0.66,0,2022-12-13 19:57:33.113376,0.7579243,0.03,0.3042115443855359
0,0.7635581328762848,0.66,0,2022-12-13 19:57:37.169492,0.7533090000000001,0.03,0.2938910785240122
0,0.7842255977053488,0.66,0,2022-12-13 19:57:41.223073,0.7616538,0.03,0.5609824289959462
0,0.8563191006417227,1.0,1,2022-12-13 19:57:43.301323,0.7634513,0.03,1.4099116041769426
0,0.7584316649879584,0.66,1,2022-12-13 19:57:45.335963,0.7444014,0.03,0.38367985643757674
0,0.8510556953847158,1.0,1,2022-12-13 19:57:47.413332,0.7415269,0.03,1.5370736168263208
0,0.8581303029792575,1.0,0,2022-12-13 19:57:49.485562,0.6944880999999999,0.03,1.8648147600191625
0,0.960621696267854,1.0,0,2022-12-13 19:57:51.597858,0.7189884,0.03,2.20325559954181
0,0.7318174480255881,0.66,1,2022-12-13 19:57:53.627906,0.6959175,0.03,0.7869402711599276
0,0.7573803125155917,0.66,0,2022-12-13 19:57:57.657131,0.6952512,0.03,1.1219936084544215
0,0.8070395565245059,0.66,0,2022-12-13 19:58:01.683448,0.7520333,0.03,1.0415274782900166
0,0.8648576702228373,1.0,1,2022-12-13 19:58:03.719991,0.782839,0.03,1.3174681741584928
0,1,1.0,0,2022-12-13 19:58:05.757241,0.7817580000000001,0.03,2.330219138394276
0,1,1.0,0,2022-12-13 19:58:07.845374,0.8088243,0.03,2.3288266788969314
0,0.9147843376205269,1.0,0,2022-12-13 19:58:09.881079,0.7737132000000001,0.03,1.7408820978093182
0,0.8756043101561282,1.0,0,2022-12-13 19:58:11.943376,0.7621852,0.03,1.5645738023115008
0,0.8483974630700434,1.0,0,2022-12-13 19:58:13.973006,0.7510741,0.03,1.4455326347136246
0,0.7893704715719106,0.66,1,2022-12-13 19:58:16.001227,0.7110152000000001,0.03,1.2842179983153705
0,0.814299735238746,0.66,0,2022-12-13 19:58:18.026650,0.7204889999999999,0.03,1.4175566891967677
0,0.8380871713562011,1.0,1,2022-12-13 19:58:20.059312,0.7331211000000001,0.03,1.5038260419018845
0,0.8489737032674697,1.0,0,2022-12-13 19:58:24.093809,0.7193887999999999,0.03,1.6713787078235829
0,0.8858247363977544,1.0,0,2022-12-13 19:58:26.121390,0.6942567,0.03,1.9995323227250366
0,0.7945194706186117,0.66,1,2022-12-13 19:58:28.173316,0.7071173,0.03,1.3644080146461992
0,0.7891589415164284,0.66,0,2022-12-13 19:58:30.224664,0.6897260000000001,0.03,1.4619655392312187
0,0.9997684941927792,1.0,1,2022-12-13 19:58:34.255916,0.6865332000000002,0.03,2.4372188192211786
0,0.8711760461753929,1.0,0,2022-12-13 19:58:38.325431,0.7212009,0.03,1.7916213828912027
0,0.786996708476089,0.66,1,2022-12-13 19:58:40.355755,0.7359275000000001,0.03,0.994105833827222
0,0.8754283222849961,1.0,1,2022-12-13 19:58:42.392600,0.7233131,0.03,1.8034421945760377
0,0.8317200095114657,1.0,0,2022-12-13 19:58:44.421286,0.7376977000000001,0.03,1.4192640831750898
0,0.8213982951101003,0.66,1,2022-12-13 19:58:46.449165,0.6828452,0.03,1.7260534230062419
0,0.7736648969468725,0.66,0,2022-12-13 19:58:48.497276,0.6822546,0.03,1.3979783117096356
0,0.8107176033469015,0.66,0,2022-12-13 19:58:52.527044,0.7196472999999999,0.03,1.3951740146040499
0,0.936618334752559,1.0,1,2022-12-13 19:58:56.601187,0.7514898999999999,0.03,1.9700378390526474
0,1,1.0,0,2022-12-13 19:58:58.697375,0.7956700999999999,0.03,2.48440264648491
0,0.9389791204022582,1.0,0,2022-12-13 19:59:00.725656,0.7617805000000001,0.03,1.932480470410746
0,0.7528945134054176,0.66,1,2022-12-13 19:59:02.807763,0.7287227000000001,0.03,0.5909633436411251
0,0.7065524466448185,0.66,0,2022-12-13 19:59:04.930174,0.7155199999999999,0.03,-0.35513105801947104
0,0.9402617203824268,1.0,1,2022-12-13 19:59:06.977945,0.6864165000000001,0.03,2.2472317092798764
0,0.7732513971850193,0.66,1,2022-12-13 19:59:09.043839,0.6494624999999999,0.03,1.6343834828492079
0,0.7992339964635884,0.66,0,2022-12-13 19:59:13.114235,0.6866382000000001,0.03,1.5588166480686119
0,0.7624658668038937,0.66,0,2022-12-13 19:59:17.147368,0.6402976,0.03,1.6237895453377076
0,0.6650877783114594,0.66,1,2022-12-13 20:44:06.891389,0.6511260000000001,0.03,0.3821232
0,0.7001045283114593,0.66,0,2022-12-13 20:44:11.224891,0.68614275,0.03,0.3821232
0,0.6938382478790952,0.66,0,2022-12-13 20:44:13.305248,0.6114496666666667,0.03,1.3207649600000004
0,1,1.0,1,2022-12-13 20:44:15.415350,0.6046217142857142,0.03,3.784384320000001
0,0.837377700221438,1.0,0,2022-12-13 20:44:17.549194,0.5817277777777777,0.03,2.253569632000001
0,0.6113755895931515,0.66,1,2022-12-13 20:44:19.627498,0.6097568,0.03,0.052554169600000256
0,0.6175963730046272,0.66,0,2022-12-13 20:44:21.696726,0.6054157,0.03,0.3407647488000003
